State (User order)	Genome %	/Users/xiangfu.zhong/Library/CloudStorage/OneDrive-KarolinskaInstitutet/Matilda_CMML_methylation_ChromHMM_2023/methyChromHMM/sigDMPs.bed
1_TssA	0,32746	1,56029
2_TssFlnk	0,09241	3,64080
3_TssFlnkU	1,14431	11,74124
4_TssFlnkD	0,39866	9,71101
5_Tx	6,46604	0,86950
6_TxWk	7,44423	1,13999
7_EnhG1	0,75002	3,51961
8_EnhG2	0,20190	8,30172
9_EnhA1	0,88540	8,44470
10_EnhA2	0,48564	3,60952
11_EnhWk	1,63864	5,90641
12_ZNF/Rpts	1,31537	0,21474
13_Het	7,27264	0,07711
14_TssBiv	0,25032	8,34678
15_EnhBiv	0,16751	12,00193
16_ReprPC	2,69474	2,86713
17_ReprPCWk	7,67967	0,93466
18_Quies	60,78502	0,40578
Base	100	0,00159
