seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup
chr1	1238401	1240000	1600	*	1	Distal Intergenic	1	1242449	1243158	710	2	388581	ENST00000478606.1	3158	ENSG00000184163	C1QTNF12	C1q and TNF related 12	11_EnhWk
chr1	2057601	2058400	800	*	1	Promoter (1-2kb)	1	2055679	2135347	79669	1	5590	ENST00000466651.5	1922	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2075001	2077600	2600	*	1	Promoter (<=1kb)	1	2075244	2150863	75620	1	5590	ENST00000496325.5	0	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2090601	2091200	600	*	2	Intron (ENST00000378567.8/5590, intron 4 of 17)	1	2082248	2150936	68689	1	5590	ENST00000481140.5	8353	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2106601	2106800	200	*	1	Promoter (1-2kb)	1	2104739	2156087	51349	1	5590	ENST00000486681.5	1862	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2156001	2156400	400	*	1	Exon (ENST00000378567.8/5590, exon 10 of 18)	1	2145387	2185116	39730	1	5590	ENST00000478770.6	10614	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2167801	2170000	2200	*	1	Promoter (<=1kb)	1	2168848	2185393	16546	1	5590	ENST00000505322.5	0	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	2181801	2182400	600	*	1	Promoter (1-2kb)	1	2181794	2183875	2082	2	100506504	ENST00000333854.2	1475	ENSG00000182873	PRKCZ-AS1	PRKCZ antisense RNA 1	11_EnhWk
chr1	2191001	2193400	2400	*	1	Promoter (<=1kb)	1	2189544	2194108	4565	2	199990	ENST00000497675.2	708	ENSG00000162585	FAAP20	FA core complex associated protein 20	11_EnhWk
chr1	3510201	3510600	400	*	1	Intron (ENST00000356575.9/1953, intron 10 of 36)	1	3490925	3496717	5793	2	1953	ENST00000491842.1	-13484	ENSG00000162591	MEGF6	multiple EGF like domains 6	11_EnhWk
chr1	3822001	3823200	1200	*	2	3' UTR	1	3815239	3816458	1220	2	9731	ENST00000484420.1	-5543	ENSG00000116198	CEP104	centrosomal protein 104	11_EnhWk
chr1	6244601	6244800	200	*	1	Promoter (<=1kb)	1	6244179	6245578	1400	1	390992	ENST00000377898.4	422	ENSG00000173673	HES3	hes family bHLH transcription factor 3	11_EnhWk
chr1	6418401	6419800	1400	*	3	Promoter (<=1kb)	1	6413000	6419903	6904	2	54626	ENST00000377836.8	103	ENSG00000069812	HES2	hes family bHLH transcription factor 2	11_EnhWk
chr1	6837201	6837800	600	*	1	Intron (ENST00000490738.5/23261, intron 2 of 2)	1	6825110	6888188	63079	1	23261	ENST00000482934.1	12091	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	11_EnhWk
chr1	7980801	7981200	400	*	1	Intron (ENST00000493373.5/11315, intron 6 of 6)	1	7965351	7985282	19932	1	11315	ENST00000469225.1	15450	ENSG00000116288	PARK7	Parkinsonism associated deglycase	11_EnhWk
chr1	7990601	7991000	400	*	1	Distal Intergenic	1	8013427	8015633	2207	2	54206	ENST00000467067.1	24633	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1	11_EnhWk
chr1	7991401	7991800	400	*	1	Exon (ENST00000641354.1/ENST00000641354.1, exon 1 of 6)	1	8013427	8015633	2207	2	54206	ENST00000467067.1	23833	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1	11_EnhWk
chr1	8258001	8258800	800	*	2	Distal Intergenic	1	8208672	8215210	6539	1	102724539	ENST00000452982.1	49329	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714	11_EnhWk
chr1	8272801	8275000	2200	*	3	Distal Intergenic	1	8318114	8344165	26052	1	50651	ENST00000471889.7	-43114	ENSG00000162426	SLC45A1	solute carrier family 45 member 1	11_EnhWk
chr1	8341801	8343800	2000	*	1	Exon (ENST00000471889.7/50651, exon 9 of 9)	1	8330428	8336109	5682	1	50651	ENST00000481265.1	11373	ENSG00000162426	SLC45A1	solute carrier family 45 member 1	11_EnhWk
chr1	8490001	8490800	800	*	1	Intron (ENST00000337907.7/473, intron 11 of 23)	1	8352406	8525939	173534	2	473	ENST00000377464.5	35139	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	11_EnhWk
chr1	8517201	8518000	800	*	1	Intron (ENST00000337907.7/473, intron 8 of 23)	1	8352406	8525939	173534	2	473	ENST00000377464.5	7939	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	11_EnhWk
chr1	8662601	8664200	1600	*	1	Intron (ENST00000337907.7/473, intron 2 of 23)	1	8353943	8656371	302429	2	473	ENST00000400907.6	-6230	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats	11_EnhWk
chr1	9139201	9139800	600	*	1	Distal Intergenic	1	9100305	9129102	28798	2	80045	ENST00000377411.5	-10099	ENSG00000180758	GPR157	G protein-coupled receptor 157	11_EnhWk
chr1	9146201	9147800	1600	*	2	Distal Intergenic	1	9151668	9151777	110	2	407040	ENST00000385130.1	3977	ENSG00000284357	MIR34A	microRNA 34a	11_EnhWk
