seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup
chr1	8258001	8258800	800	*	2	Distal Intergenic	1	8208672	8215210	6539	1	102724539	ENST00000452982.1	49329	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714	11_EnhWk
chr1	27848401	27849600	1200	*	3	Intron (ENST00000311772.10/5511, intron 6 of 6)	1	27834401	27834566	166	1	677774	ENST00000517138.1	14000	ENSG00000252947	SCARNA1	small Cajal body-specific RNA 1	11_EnhWk
chr1	152595201	152595600	400	*	2	Distal Intergenic	1	152600234	152601086	853	1	353144	ENST00000684028.1	-4634	ENSG00000244057	LCE3C	late cornified envelope 3C	11_EnhWk
chr1	226898401	226901000	2600	*	2	Promoter (<=1kb)	1	226899365	226927726	28362	1	5664	ENST00000676616.1	0	ENSG00000143801	PSEN2	presenilin 2	11_EnhWk
chr1	245679401	245679800	400	*	2	Promoter (2-3kb)	1	245673732	245676478	2747	2	105373265	ENST00000414565.1	-2923	NA	LOC105373265	uncharacterized LOC105373265	11_EnhWk
chr10	45958801	45961000	2200	*	2	Intron (ENST00000417555.2/728407, intron 3 of 11)	10	45888165	45972154	83990	2	728407	ENST00000417555.2	11154	NA	PARGP1	poly(ADP-ribose) glycohydrolase pseudogene 1	11_EnhWk
chr10	88717401	88719800	2400	*	3	Intron (ENST00000404190.3/643414, intron 1 of 9)	10	88706249	88752776	46528	1	643414	ENST00000404190.3	11152	ENSG00000204021	LIPK	lipase family member K	11_EnhWk
chr10	134068201	134068800	600	*	2	Distal Intergenic	10	133623895	133626795	2901	2	441581	ENST00000425520.2	-441406	ENSG00000225899	FRG2B	FSHD region gene 2 family member B	11_EnhWk
chr10	134360401	134364200	3800	*	4	Distal Intergenic	10	133623895	133626795	2901	2	441581	ENST00000425520.2	-733606	ENSG00000225899	FRG2B	FSHD region gene 2 family member B	11_EnhWk
chr11	3147601	3148800	1200	*	3	Intron (ENST00000263650.12/114879, intron 1 of 21)	11	3126483	3161393	34911	2	114879	ENST00000534157.1	12593	ENSG00000021762	OSBPL5	oxysterol binding protein like 5	11_EnhWk
chr11	3157601	3161600	4000	*	2	Promoter (<=1kb)	11	3126483	3161393	34911	2	114879	ENST00000534157.1	0	ENSG00000021762	OSBPL5	oxysterol binding protein like 5	11_EnhWk
chr11	112037401	112037800	400	*	2	3' UTR	11	112042898	112064375	21478	1	1737	ENST00000680154.1	-5098	ENSG00000150768	DLAT	dihydrolipoamide S-acetyltransferase	11_EnhWk
chr12	93853601	93855000	1400	*	2	Intron (ENST00000548483.5/8738, intron 2 of 2)	12	93848660	93850756	2097	1	8738	ENST00000548330.1	4941	ENSG00000169372	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	11_EnhWk
chr12	122292601	122296000	3400	*	2	Intron (ENST00000361654.8/6249, intron 18 of 23)	12	122272806	122280878	8073	2	6249	ENST00000538120.5	-11723	ENSG00000130779	CLIP1	CAP-Gly domain containing linker protein 1	11_EnhWk
chr13	30962801	30963400	600	*	2	Intron (ENST00000380473.8/122046, intron 4 of 6)	13	30956958	30975500	18543	1	122046	ENST00000530916.1	5843	ENSG00000175664	TEX26	testis expressed 26	11_EnhWk
chr13	43294201	43294800	600	*	2	Intron (ENST00000261488.10/55068, intron 12 of 16)	13	43359732	43361365	1634	2	55068	ENST00000482207.1	66565	ENSG00000120658	ENOX1	ecto-NOX disulfide-thiol exchanger 1	11_EnhWk
chr13	44990001	44990200	200	*	2	Promoter (<=1kb)	13	44989620	45033602	43983	1	55425	ENST00000497558.5	381	ENSG00000133114	GPALPP1	GPALPP motifs containing 1	11_EnhWk
chr13	49000801	49001200	400	*	2	Intron (ENST00000492622.6/22862, intron 1 of 25)	13	48976673	49209607	232935	1	22862	ENST00000484074.5	24128	ENSG00000102531	FNDC3A	fibronectin type III domain containing 3A	11_EnhWk
chr13	49379601	49380200	600	*	2	Promoter (2-3kb)	13	49310622	49377131	66510	2	81617	ENST00000425242.5	-2470	ENSG00000102547	CAB39L	calcium binding protein 39 like	11_EnhWk
chr13	111176401	111178600	2200	*	2	Intron (ENST00000317133.9/8874, intron 2 of 18)	13	111184938	111217865	32928	1	8874	ENST00000467053.5	-6338	ENSG00000102606	ARHGEF7	Rho guanine nucleotide exchange factor 7	11_EnhWk
chr13	114889401	114892600	3200	*	2	Distal Intergenic	13	114329559	114333948	4390	2	104355150	ENST00000446989.1	-555453	NA	LINC01054	long intergenic non-protein coding RNA 1054	11_EnhWk
chr13	114917001	114917600	600	*	3	Distal Intergenic	13	114329559	114333948	4390	2	104355150	ENST00000446989.1	-583053	NA	LINC01054	long intergenic non-protein coding RNA 1054	11_EnhWk
chr14	21270001	21271600	1600	*	2	Promoter (<=1kb)	14	21209136	21269494	60359	2	3183	ENST00000336053.10	-507	ENSG00000092199	HNRNPC	heterogeneous nuclear ribonucleoprotein C	11_EnhWk
chr14	23623601	23624800	1200	*	3	Distal Intergenic	14	23630115	23642438	12324	1	10202	ENST00000553896.5	-5315	ENSG00000100867	DHRS2	dehydrogenase/reductase 2	11_EnhWk
chr14	60670801	60671200	400	*	2	Distal Intergenic	14	60644696	60658259	13564	2	6495	ENST00000554986.2	-12542	ENSG00000126778	SIX1	SIX homeobox 1	11_EnhWk
chr14	90087401	90087800	400	*	2	Intron (ENST00000282146.5/56659, intron 1 of 1)	14	90061994	90185853	123860	1	56659	ENST00000282146.5	25407	ENSG00000152315	KCNK13	potassium two pore domain channel subfamily K member 13	11_EnhWk
chr15	99499401	99500200	800	*	3	Distal Intergenic	15	99565417	99645761	80345	1	4205	ENST00000560493.5	-65217	ENSG00000068305	MEF2A	myocyte enhancer factor 2A	11_EnhWk
chr16	596601	597600	1000	*	5	Intron (ENST00000569575.5/57799, intron 2 of 5)	16	590332	627583	37252	1	57799	ENST00000563109.1	6269	ENSG00000197562	RAB40C	RAB40C, member RAS oncogene family	11_EnhWk
chr16	2093401	2094200	800	*	3	Promoter (<=1kb)	16	2091823	2093884	2062	2	5310	ENST00000562425.1	0	ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting	11_EnhWk
chr16	11589001	11590400	1400	*	2	Promoter (1-2kb)	16	11547722	11587563	39842	2	9516	ENST00000571688.5	-1438	ENSG00000189067	LITAF	lipopolysaccharide induced TNF factor	11_EnhWk
chr16	54084401	54085400	1000	*	2	Intron (ENST00000636992.1/79068, intron 8 of 8)	16	54069896	54114439	44544	1	79068	ENST00000636091.1	14505	ENSG00000140718	FTO	FTO alpha-ketoglutarate dependent dioxygenase	11_EnhWk
chr16	56641001	56641400	400	*	2	Promoter (2-3kb)	16	56643705	56644786	1082	1	326343	ENST00000463480.6	-2305	NA	MT1DP	metallothionein 1D, pseudogene	11_EnhWk
chr16	83762201	83762800	600	*	2	Intron (ENST00000268613.14/1012, intron 12 of 14)	16	83720403	83772936	52534	2	105371366	ENST00000563981.6	10136	NA	LOC105371366	uncharacterized LOC105371366	11_EnhWk
chr16	85470601	85471600	1000	*	2	Intron (ENST00000637419.1/23199, intron 2 of 2)	16	85555967	85654346	98380	1	23199	ENST00000635906.1	-84367	ENSG00000131149	GSE1	Gse1 coiled-coil protein	11_EnhWk
chr16	85978001	85979200	1200	*	2	Intron (ENST00000645754.1/ENST00000645754.1, intron 2 of 2)	16	85935281	85936223	943	2	107984811	ENST00000598933.1	-41778	NA	LINC02132	long intergenic non-protein coding RNA 2132	11_EnhWk
chr16	86421201	86421600	400	*	2	Distal Intergenic	16	86477124	86490881	13758	2	400550	ENST00000600553.5	69281	ENSG00000268388	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA	11_EnhWk
chr16	87866601	87867000	400	*	2	Promoter (2-3kb)	16	87830023	87869507	39485	2	8140	ENST00000261622.5	2507	ENSG00000103257	SLC7A5	solute carrier family 7 member 5	11_EnhWk
chr16	89161601	89164600	3000	*	4	Promoter (1-2kb)	16	89166383	89169147	2765	1	400558	ENST00000378340.1	-1783	ENSG00000205015	LINC02138	long intergenic non-protein coding RNA 2138	11_EnhWk
chr17	1973601	1976000	2400	*	3	Intron (ENST00000331238.7/146760, intron 1 of 1)	17	2017716	2019102	1387	1	105371485	ENST00000572287.1	-41716	ENSG00000228133	LOC105371485	uncharacterized LOC105371485	11_EnhWk
chr17	3704601	3705400	800	*	2	Distal Intergenic	17	3690084	3696240	6157	2	100533970	ENST00000547933.1	-8361	ENSG00000257950	P2RX5-TAX1BP3	P2RX5-TAX1BP3 readthrough (NMD candidate)	11_EnhWk
chr17	64575001	64575800	800	*	2	Intron (ENST00000262435.14/64750, intron 9 of 18)	17	64557641	64563165	5525	2	64750	ENST00000580072.5	-11836	ENSG00000108854	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	11_EnhWk
