seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	state
chr1	1180801	1184000	3200	*	3	Promoter (<=1kb)	1	1180537	1180884	348	1	254173	ENST00000514695.1	264	ENSG00000162571	TTLL10	tubulin tyrosine ligase like 10	16_ReprPC
chr1	1360201	1369600	9400	*	2	Promoter (<=1kb)	1	1352692	1361777	9086	2	54587	ENST00000477278.3	0	ENSG00000162576	MXRA8	matrix remodeling associated 8	16_ReprPC
chr1	1474001	1476000	2000	*	3	Promoter (2-3kb)	1	1478026	1497848	19823	1	83858	ENST00000472194.6	-2026	ENSG00000160072	ATAD3B	ATPase family AAA domain containing 3B	16_ReprPC
chr1	2252201	2255000	2800	*	1	Intron (ENST00000378536.5/6497, intron 1 of 6)	1	2247996	2303376	55381	1	6497	ENST00000478223.2	4205	ENSG00000157933	SKI	SKI proto-oncogene	16_ReprPC
chr1	3099201	3100400	1200	*	2	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3127975	3128035	61	1	100422968	ENST00000635819.1	-27575	ENSG00000283572	MIR4251	microRNA 4251	16_ReprPC
chr1	3163001	3165800	2800	*	4	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3127975	3128035	61	1	100422968	ENST00000635819.1	35026	ENSG00000283572	MIR4251	microRNA 4251	16_ReprPC
chr1	3339601	3341600	2000	*	3	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3313052	3323149	10098	2	105378604	ENST00000669140.1	-16452	NA	LOC105378604	uncharacterized LOC105378604	16_ReprPC
chr1	3569601	3577000	7400	*	1	Intron (ENST00000356575.9/1953, intron 4 of 36)	1	3560695	3560790	96	2	693135	ENST00000385042.1	-8811	ENSG00000207776	MIR551A	microRNA 551a	16_ReprPC
chr1	3623801	3627800	4000	*	1	Promoter (<=1kb)	1	3625015	3630127	5113	1	127262	ENST00000378344.7	0	ENSG00000158109	TPRG1L	tumor protein p63 regulated 1 like	16_ReprPC
chr1	4770001	4772400	2400	*	1	Exon (ENST00000378191.5/55966, exon 4 of 6)	1	4711155	4712165	1011	1	55966	ENST00000466761.1	58846	ENSG00000196581	AJAP1	adherens junctions associated protein 1	16_ReprPC
chr1	6550801	6557600	6800	*	2	Promoter (<=1kb)	1	6521347	6554513	33167	2	79707	ENST00000377705.6	0	ENSG00000162408	NOL9	nucleolar protein 9	16_ReprPC
chr1	7020001	7022600	2600	*	2	Intron (ENST00000303635.12/23261, intron 3 of 22)	1	6874056	6887842	13787	1	23261	ENST00000467267.1	145945	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	16_ReprPC
chr1	10698601	10701000	2400	*	1	Intron (ENST00000377022.8/54897, intron 3 of 20)	1	10652984	10694479	41496	2	54897	ENST00000496432.6	-4122	ENSG00000130940	CASZ1	castor zinc finger 1	16_ReprPC
chr1	11039201	11040600	1400	*	1	Promoter (2-3kb)	1	11037693	11043198	5506	2	10747	ENST00000478645.1	2598	ENSG00000009724	MASP2	MBL associated serine protease 2	16_ReprPC
chr1	13836401	13845200	8800	*	3	Distal Intergenic	1	13892792	14304663	411872	1	23254	ENST00000636564.1	-47592	ENSG00000189337	KAZN	kazrin, periplakin interacting protein	16_ReprPC
chr1	16083401	16085600	2200	*	1	Distal Intergenic	1	16057769	16073651	15883	2	348487	ENST00000375662.5	-9750	ENSG00000185519	FAM131C	family with sequence similarity 131 member C	16_ReprPC
chr1	18949401	18986400	37000	*	2	Promoter (<=1kb)	1	18904280	18956676	52397	2	126917	ENST00000455833.7	0	ENSG00000169991	IFFO2	intermediate filament family orphan 2	16_ReprPC
chr1	20799001	20812600	13600	*	1	3' UTR	1	20776698	20787323	10626	2	50809	ENST00000437575.5	-11678	ENSG00000127483	HP1BP3	heterochromatin protein 1 binding protein 3	16_ReprPC
chr1	20875001	20879800	4800	*	1	3' UTR	1	20807025	20851268	44244	2	8672	ENST00000435383.2	-23733	ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	16_ReprPC
chr1	27708401	27709800	1400	*	3	Distal Intergenic	1	27725961	27763116	37156	1	199870	ENST00000373954.11	-16161	ENSG00000009780	FAM76A	family with sequence similarity 76 member A	16_ReprPC
chr1	31351401	31364400	13000	*	1	3' UTR	1	31365713	31369590	3878	2	2170	ENST00000497275.5	5190	ENSG00000121769	FABP3	fatty acid binding protein 3	16_ReprPC
chr1	32054601	32057800	3200	*	1	Intron (ENST00000484270.2/10657, intron 10 of 10)	1	32072031	32102863	30833	1	55116	ENST00000487305.5	-14231	ENSG00000121775	TMEM39B	transmembrane protein 39B	16_ReprPC
chr1	32167801	32170800	3000	*	3	3' UTR	1	32179675	32198285	18611	1	200081	ENST00000373610.8	-8875	ENSG00000084652	TXLNA	taxilin alpha	16_ReprPC
chr1	32889801	32895600	5800	*	1	Promoter (<=1kb)	1	32894594	32895587	994	2	113452	ENST00000482771.1	0	ENSG00000121900	TMEM54	transmembrane protein 54	16_ReprPC
chr1	33220401	33221600	1200	*	1	Distal Intergenic	1	33256492	33300719	44228	1	149076	ENST00000539719.6	-34892	ENSG00000160094	ZNF362	zinc finger protein 362	16_ReprPC
chr1	33391401	33394600	3200	*	1	Promoter (<=1kb)	1	33368570	33392765	24196	2	1912	ENST00000468406.5	0	ENSG00000134686	PHC2	polyhomeotic homolog 2	16_ReprPC
chr1	34625401	34644600	19200	*	4	Exon (ENST00000666642.1/105378641, exon 2 of 2)	1	34669599	34669694	96	2	693137	ENST00000385206.1	25094	ENSG00000207941	MIR552	microRNA 552	16_ReprPC
chr1	37494001	37506800	12800	*	1	Promoter (<=1kb)	1	37500935	37500994	60	2	100847010	ENST00000580821.1	0	ENSG00000263675	MIR5581	microRNA 5581	16_ReprPC
chr1	38261001	38262200	1200	*	1	Distal Intergenic	1	38210658	38214806	4149	2	339442	ENST00000649079.1	-46195	ENSG00000237290	LINC01343	long intergenic non-protein coding RNA 1343	16_ReprPC
chr1	38597601	38608600	11000	*	1	Distal Intergenic	1	38474917	38496029	21113	1	105378656	ENST00000634298.1	122684	NA	LINC01685	long intergenic non-protein coding RNA 1685	16_ReprPC
chr1	38937201	38945800	8600	*	1	Promoter (<=1kb)	1	38885807	38941830	56024	2	54933	ENST00000372990.6	0	ENSG00000158315	RHBDL2	rhomboid like 2	16_ReprPC
chr1	39266401	39274800	8400	*	1	Promoter (<=1kb)	1	39268465	39327225	58761	1	23499	ENST00000496804.5	0	ENSG00000127603	MACF1	microtubule actin crosslinking factor 1	16_ReprPC
chr1	39547801	39550200	2400	*	1	Promoter (1-2kb)	1	39522280	39546187	23908	2	728448	ENST00000647627.1	-1614	ENSG00000243970	PPIEL	peptidylprolyl isomerase E like pseudogene	16_ReprPC
chr1	41117001	41120800	3800	*	2	Exon (ENST00000397174.6/22955, exon 4 of 13)	1	41027200	41152674	125475	2	22955	ENST00000397174.6	31874	ENSG00000010803	SCMH1	Scm polycomb group protein homolog 1	16_ReprPC
chr1	41246801	41248400	1600	*	2	Intron (ENST00000657314.1/ENST00000657314.1, intron 1 of 1)	1	41185984	41242154	56171	2	22955	ENST00000488592.1	-4647	ENSG00000010803	SCMH1	Scm polycomb group protein homolog 1	16_ReprPC
chr1	42384401	42385400	1000	*	3	Intron (ENST00000431473.4/284716, intron 1 of 4)	1	42380795	42410165	29371	1	284716	ENST00000410070.6	3606	ENSG00000177181	RIMKLA	ribosomal modification protein rimK like family member A	16_ReprPC
chr1	43425401	43430000	4600	*	1	Promoter (<=1kb)	1	43429842	43430697	856	1	23334	ENST00000478140.1	0	ENSG00000198198	SZT2	SZT2 subunit of KICSTOR complex	16_ReprPC
chr1	43471401	43474400	3000	*	2	Distal Intergenic	1	43451003	43453989	2987	2	81888	ENST00000583037.5	-17412	ENSG00000178922	HYI	hydroxypyruvate isomerase (putative)	16_ReprPC
chr1	43994201	43996200	2000	*	1	Promoter (<=1kb)	1	43995393	43995980	588	1	149473	ENST00000472562.1	0	ENSG00000159214	CCDC24	coiled-coil domain containing 24	16_ReprPC
chr1	45666601	45671200	4600	*	1	Intron (ENST00000355105.8/60313, intron 2 of 12)	1	45658755	45660389	1635	2	60313	ENST00000495616.1	-6212	ENSG00000159592	GPBP1L1	GC-rich promoter binding protein 1 like 1	16_ReprPC
chr1	47488201	47491800	3600	*	1	Distal Intergenic	1	47438044	47440691	2648	1	2306	ENST00000334793.6	50157	ENSG00000186564	FOXD2	forkhead box D2	16_ReprPC
chr1	47645801	47647600	1800	*	1	Distal Intergenic	1	47688463	47704029	15567	1	107984953	ENST00000454285.2	-40863	ENSG00000227947	LINC01738	long intergenic non-protein coding RNA 1738	16_ReprPC
chr1	47691801	47695400	3600	*	1	Exon (ENST00000454285.2/107984953, exon 2 of 3)	1	47688463	47704029	15567	1	107984953	ENST00000454285.2	3338	ENSG00000227947	LINC01738	long intergenic non-protein coding RNA 1738	16_ReprPC
chr1	47698401	47700800	2400	*	2	Intron (ENST00000454285.2/107984953, intron 2 of 2)	1	47688463	47704029	15567	1	107984953	ENST00000454285.2	9938	ENSG00000227947	LINC01738	long intergenic non-protein coding RNA 1738	16_ReprPC
chr1	47905201	47906400	1200	*	1	Intron (ENST00000606738.3/388630, intron 2 of 6)	1	47775238	47994212	218975	2	388630	ENST00000435576.2	87812	ENSG00000269113	TRABD2B	TraB domain containing 2B	16_ReprPC
chr1	50886801	50888800	2000	*	1	Intron (ENST00000396153.7/11124, intron 1 of 18)	1	50705784	50959738	253955	2	11124	ENST00000487898.1	70938	ENSG00000185104	FAF1	Fas associated factor 1	16_ReprPC
chr1	50891001	50900400	9400	*	1	Intron (ENST00000396153.7/11124, intron 1 of 18)	1	50705784	50959738	253955	2	11124	ENST00000487898.1	59338	ENSG00000185104	FAF1	Fas associated factor 1	16_ReprPC
chr1	60537201	60541600	4400	*	1	Exon (ENST00000634836.1/105378763, exon 6 of 8)	1	60540250	60601677	61428	2	105378763	ENST00000634281.1	60077	ENSG00000226476	LINC01748	long intergenic non-protein coding RNA 1748	16_ReprPC
chr1	75588601	75601000	12400	*	4	Intron (ENST00000370859.7/204962, intron 1 of 23)	1	75204475	75611084	406610	2	204962	ENST00000370855.5	10084	ENSG00000137968	SLC44A5	solute carrier family 44 member 5	16_ReprPC
chr1	77328001	77333000	5000	*	1	Intron (ENST00000354567.7/26289, intron 5 of 13)	1	77340405	77417849	77445	1	26289	ENST00000465146.5	-7405	ENSG00000154027	AK5	adenylate kinase 5	16_ReprPC
chr1	79471601	79473200	1600	*	2	Distal Intergenic	1	79325008	79346445	21438	1	107983999	ENST00000645557.1	146593	NA	LINC02792	long intergenic non-protein coding RNA 2792	16_ReprPC
chr1	91173201	91182600	9400	*	1	Distal Intergenic	1	91316140	91328937	12798	2	164045	ENST00000497520.1	146337	ENSG00000162669	HFM1	helicase for meiosis 1	16_ReprPC
chr1	91189601	91191400	1800	*	2	Distal Intergenic	1	91316140	91328937	12798	2	164045	ENST00000497520.1	137537	ENSG00000162669	HFM1	helicase for meiosis 1	16_ReprPC
chr1	91191601	91195200	3600	*	5	Distal Intergenic	1	91316140	91328937	12798	2	164045	ENST00000497520.1	133737	ENSG00000162669	HFM1	helicase for meiosis 1	16_ReprPC
chr1	91292001	91300800	8800	*	1	Intron (ENST00000462405.5/164045, intron 13 of 20)	1	91316140	91328937	12798	2	164045	ENST00000497520.1	28137	ENSG00000162669	HFM1	helicase for meiosis 1	16_ReprPC
chr1	102461601	102463000	1400	*	1	Distal Intergenic	1	102763322	102853842	90521	2	112268286	ENST00000414418.1	390842	NA	LOC112268286	uncharacterized LOC112268286	16_ReprPC
chr1	112527801	112531800	4000	*	1	Promoter (<=1kb)	1	112525879	112526952	1074	2	54879	ENST00000477682.1	-849	ENSG00000007341	ST7L	suppression of tumorigenicity 7 like	16_ReprPC
chr1	115880801	115883400	2600	*	1	Distal Intergenic	1	115904855	115925900	21046	1	101928995	ENST00000659309.1	-21455	ENSG00000228127	LINC01649	long intergenic non-protein coding RNA 1649	16_ReprPC
chr1	119513601	119526000	12400	*	1	3' UTR	1	119507318	119514800	7483	1	3283	ENST00000528909.1	6283	ENSG00000203857	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	16_ReprPC
chr1	119531001	119543000	12000	*	1	Exon (ENST00000514706.1/ENST00000514706.1, exon 1 of 3)	1	119507318	119514800	7483	1	3283	ENST00000528909.1	23683	ENSG00000203857	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	16_ReprPC
chr1	147035001	147051800	16800	*	1	Exon (ENST00000435000.2/ENST00000435000.2, exon 1 of 1)	1	147019656	147056593	36938	2	728989	ENST00000444082.2	4793	NA	LOC728989	phosphodiesterase 4D interacting protein pseudogene	16_ReprPC
chr1	150255401	150261600	6200	*	1	Promoter (<=1kb)	1	150257251	150265049	7799	1	23632	ENST00000647854.1	0	ENSG00000118298	CA14	carbonic anhydrase 14	16_ReprPC
chr1	151686401	151689400	3000	*	1	Intron (ENST00000642376.1/81609, intron 7 of 10)	1	151675856	151694485	18630	1	81609	ENST00000647551.1	10545	ENSG00000143376	SNX27	sorting nexin 27	16_ReprPC
chr1	156406601	156415200	8600	*	1	Promoter (<=1kb)	1	156404261	156412708	8448	2	10485	ENST00000465570.1	0	ENSG00000125462	MIR9-1HG	MIR9-1 host gene	16_ReprPC
chr1	156607401	156613400	6000	*	1	3' UTR	1	156597764	156601496	3733	2	54865	ENST00000527691.5	-5905	ENSG00000160818	GPATCH4	G-patch domain containing 4	16_ReprPC
chr1	156640801	156655600	14800	*	4	Promoter (<=1kb)	1	156641390	156647144	5755	1	63827	ENST00000441358.5	0	ENSG00000132692	BCAN	brevican	16_ReprPC
chr1	156808001	156815000	7000	*	1	Promoter (<=1kb)	1	156809203	156814111	4909	2	9047	ENST00000468744.5	0	ENSG00000027869	SH2D2A	SH2 domain containing 2A	16_ReprPC
chr1	156826601	156829600	3000	*	2	Intron (ENST00000489021.6/4914, intron 1 of 2)	1	156837209	156881850	44642	1	4914	ENST00000530298.5	-7609	ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	16_ReprPC
chr1	157161001	157166400	5400	*	1	Distal Intergenic	1	157171116	157187405	16290	1	107985211	ENST00000457239.2	-4716	NA	LOC107985211	uncharacterized LOC107985211	16_ReprPC
