seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup
chr1	2090601	2091200	600	*	2	Intron (ENST00000378567.8/5590, intron 4 of 17)	1	2082248	2150936	68689	1	5590	ENST00000481140.5	8353	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk
chr1	3822001	3823200	1200	*	2	3' UTR	1	3815239	3816458	1220	2	9731	ENST00000484420.1	-5543	ENSG00000116198	CEP104	centrosomal protein 104	11_EnhWk
chr1	6418401	6419800	1400	*	3	Promoter (<=1kb)	1	6413000	6419903	6904	2	54626	ENST00000377836.8	103	ENSG00000069812	HES2	hes family bHLH transcription factor 2	11_EnhWk
chr1	8258001	8258800	800	*	2	Distal Intergenic	1	8208672	8215210	6539	1	102724539	ENST00000452982.1	49329	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714	11_EnhWk
chr1	8272801	8275000	2200	*	3	Distal Intergenic	1	8318114	8344165	26052	1	50651	ENST00000471889.7	-43114	ENSG00000162426	SLC45A1	solute carrier family 45 member 1	11_EnhWk
chr1	9146201	9147800	1600	*	2	Distal Intergenic	1	9151668	9151777	110	2	407040	ENST00000385130.1	3977	ENSG00000284357	MIR34A	microRNA 34a	11_EnhWk
chr1	16765801	16766800	1000	*	2	Promoter (1-2kb)	1	16757232	16764480	7249	2	11223	ENST00000442552.7	-1321	ENSG00000186715	MST1L	macrophage stimulating 1 like (pseudogene)	11_EnhWk
chr1	17632401	17634200	1800	*	2	Promoter (<=1kb)	1	17634257	17638003	3747	1	55160	ENST00000482359.1	-57	ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	11_EnhWk
chr1	21009601	21012200	2600	*	4	Intron (ENST00000374935.7/8672, intron 4 of 32)	1	20988314	20988432	119	2	100302155	ENST00000408881.1	-21169	ENSG00000221808	MIR1256	microRNA 1256	11_EnhWk
chr1	25298201	25299200	1000	*	2	Intron (ENST00000564398.5/6007, intron 3 of 6)	1	25272548	25329211	56664	1	6007	ENST00000568195.5	25653	ENSG00000187010	RHD	Rh blood group D antigen	11_EnhWk
