enhancerid	seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup	attributes
GH01J001235	chr1	1238401	1240000	1600	*	1	Distal Intergenic	1	1242449	1243158	710	2	388581	ENST00000478606.1	3158	ENSG00000184163	C1QTNF12	C1q and TNF related 12	11_EnhWk	GH01J001235;B3GALT6:15.74;ATAD3B:5.63;AURKAIP1:5.44;CPTP:5.04;CDK11B:4.48;PLEKHN1:3.08;HSALNG0000115:0.66;HSALNG0000116:0.66;piR-50893:0.66;C1QTNF12:0.45
GH01J001239	chr1	1238401	1240000	1600	*	1	Distal Intergenic	1	1242449	1243158	710	2	388581	ENST00000478606.1	3158	ENSG00000184163	C1QTNF12	C1q and TNF related 12	11_EnhWk	GH01J001239;HSALNG0000115:250.66;HSALNG0000116:250.66;B3GALT6:18.70;piR-50893:0.66;C1QTNF12:0.45
GH01J001688	chr1	1689601	1691600	2000	*	6	Promoter (1-2kb)	1	1670425	1692709	22285	2	728661	ENST00000481276.1	1109	ENSG00000189339	SLC35E2B	solute carrier family 35 member E2B	7_EnhG1	GH01J001688;CDK11B:10.54;SLC35E2B:9.54;HSALNG0000191:0.66;piR-35778-001:0.41
GH01J001691	chr1	1689601	1691600	2000	*	6	Promoter (1-2kb)	1	1670425	1692709	22285	2	728661	ENST00000481276.1	1109	ENSG00000189339	SLC35E2B	solute carrier family 35 member E2B	7_EnhG1	GH01J001691;SLC35E2B:259.35;HSALNG0000191:250.66;ENSG00000240731:23.45;INTS11:14.54;CCNL2:12.67;FAAP20:11.59;SLC35E2A:10.41;LINC00115:10.21;CDK11B:9.30;ANKRD65:5.03;B3GALT6:4.27;MMP23A:0.45;CDK11A:0.31
GH01J001774	chr1	1773401	1774600	1200	*	1	Intron (ENST00000341426.9/65220, intron 1 of 11)	1	1756588	1778419	21832	2	65220	ENST00000492768.5	3819	ENSG00000008130	NADK	NAD kinase	9_EnhA1	GH01J001774;CALML6:13.34;GNB1-DT:11.32;lnc-NADK-1:0.45;NADK:0.45;piR-37936:0.45;CDK11A:0.24
GH01J002075	chr1	2075001	2077600	2600	*	1	Promoter (<=1kb)	1	2075244	2150863	75620	1	5590	ENST00000496325.5	0	ENSG00000067606	PRKCZ	protein kinase C zeta	11_EnhWk	GH01J002075;PRKCZ:0.32;PRKCZ-DT:0.32;HSALNG0000221:0.23;FAAP20:0.12
GH01J002188	chr1	2191001	2193400	2400	*	1	Promoter (<=1kb)	1	2189544	2194108	4565	2	199990	ENST00000497675.2	708	ENSG00000162585	FAAP20	FA core complex associated protein 20	11_EnhWk	GH01J002188;HSALNG0000227:250.66;LOC112268219:250.66;CCNL2:21.84;ENSG00000269737:19.64;RER1:19.48;SDF4:16.79;PRKCZ-AS1:16.40;CDK11A:15.20;ATAD3B:15.13;FAAP20:12.38;ENSG00000240731:11.76;INTS11:11.57;MORN1:10.75;TNFRSF14:10.14;ATAD3A:10.05;MXRA8:9.69;HSALNG0000230:0.45;lnc-FAAP20-1:0.31;lnc-FAAP20-2:0.26;PRKCZ:0.11
GH01J002191	chr1	2191001	2193400	2400	*	1	Promoter (<=1kb)	1	2189544	2194108	4565	2	199990	ENST00000497675.2	708	ENSG00000162585	FAAP20	FA core complex associated protein 20	11_EnhWk	GH01J002191;FAAP20:258.85;CCNL2:15.09;ENSG00000269737:13.46;CDK11A:13.46;SKI:12.46;MORN1:12.07;RER1:12.07;PEX10:11.84;SDF4:11.52;INTS11:11.07;ENSG00000240731:10.98;MXRA8:10.69;ATAD3B:10.54;ENSG00000271806:10.16;PRKCZ-AS1:9.99;HSALNG0000230:0.66;LOC112268219:0.45;lnc-FAAP20-1:0.35;lnc-FAAP20-2:0.29;PRKCZ:0.11
GH01J003510	chr1	3510201	3510600	400	*	1	Intron (ENST00000356575.9/1953, intron 10 of 36)	1	3490925	3496717	5793	2	1953	ENST00000491842.1	-13484	ENSG00000162591	MEGF6	multiple EGF like domains 6	11_EnhWk	GH01J003510;GFOD3P:10.28;ARHGEF16:5.90;HSALNG0000329:0.41;HSALNG0000331:0.35;MEGF6:0.14
GH01J003822	chr1	3822001	3823200	1200	*	2	3' UTR	1	3815239	3816458	1220	2	9731	ENST00000484420.1	-5543	ENSG00000116198	CEP104	centrosomal protein 104	11_EnhWk	GH01J003822;CEP104:49.18;DFFB:11.77;SMIM1:6.25;lnc-LRRC47-2:0.45;HSALNG0000352:0.41;LRRC47:0.32
